,content
27,"""I've had a very good experience with the Branch app.The user-friendly interface, quick loan approvals, and transparent terms make it a standout choice for anyone seeking financial assistance. I highly recommend Branch to anyone in need of a hassle-free loan solution."" I would like to request to plz provide higher loan amount. I have used this app first time and get only approval for 500. Plz make it higher."
28,"Customer service is non existent, been reporting for a double payment for a month now and no update so far, number for calling doesnt work, reply takes forever, still not solving the issue. They have not returned my money. This is the worst service i have ever received even worst than actual bank. I dont recommend this app to anyone at all."
29,"I've been trying to make a repayment due today, since morning, but I've not been able to access the app. What is going on? As if that is not enough, before the due date which is today, I've been receiving threat calls, saying my loan is overdue. What really is going on? Please rectify this ASAP, SO I CAN MAKE MY REPAYMENT. PS: IT IS NOT NETWORK ISSUE NEITHER IS IT MY PHONE. I'VE BEEN DOING OTHER THINGS ONLINE AND MY PHONE IS WORKING PERFECTLY FINE.."
30,"Onboarding is excellent. Service is good & very fast. Only problem is less limit. Please increase limit It is a very good app, I have got my work done, this app also provides good customer service. You also install it now and immediately confirm and get your small work done. Stay connected with (Branch International Finance), Thank You BIF!"
31,"Very bad experience from the app, after clearly all loan amount before due date, the loan was rejected, even I don't have any dues in any loan, my cibil score is more the 780,but still, app shows not eligible, from call centre they called and told me to pay the loan amount before 3days so that, your loan amount will increase immediately, they called me more than 20 times, so i paid all amount before 4 days of due date, after paying the amount, there is no loan available, it's a very big scam ,"
32,This app is really genuine before this i tried true balance and never miss there payment even i always paid before my due date but they denied my loan but on this app if you pay their payment on time they never disappount you they started with low limit then after your repayment this app increase limit time to time so really fully satisfied with this app....
33,Please can you guys make your app like pay meaning you should make someone's card details on the app available just like pay including passwords you know what I mean check pay and see what they did. This is to be of easy help to those who forgot their passwords to their cards you can make it secured by requesting the user to put in their transaction password to complete the process.
34,"App is fluid, easy to use, and looks professional. It's just annoying when I get many unnecessary notifications (seems to be better now), and it also seems like nobody cares to respond to user's reviews. Additionally, the app may not be suitable for medium-sized to big loans; at least from my usage. Unlocking higher amounts for loans seems to be very slow. After taking and repaying 3 loans, my offer has increased from just #21,000 to #43,000 so far"
35,"Very bad experience first it was nice I got limit and i had paid all the amount on time and also I had taken loan more than 5 times but suddenly after repayment when I go to apply again it shows you are not elegible to apply the loan come after 180 days , but why I had done the payment on time. So i think it's not that much good app"
36,"the app is good though but the reason why I'm not giving them 5 Star ⭐ is because of the way they are conducting their loans process ,I believe someone that took the loan as a first timer and repay it even before the due date deserves to take a limit in loan, not the same amount anymore, please management should look into that , thank you 🙏"
37,"To obtain loan is as simple as ABCD. And the amazing thing is that they do not call you to disturb your life like others. Try it when you are in distress and see how BRANCH will come to save you. Still can't stop talking about this awesome app, Still enjoying this awesome and amazing app"
38,Nice loan app no hiccup since I started using this app their interest rate is fair enough but my issue is that they should try and be increasing the amount they disburse to clients who needs huge capital to solve one or two issues. For now am giving you guys 2stars maybe when you increase my next loan amount i will then give you 5stars.
39,"This is awesome! Branch leads, others follow!! I was highly impressed with the speed at which loan was disbursed!!! I also love the app interface. God bless the Branch immensely. The interest rate is also friendly."
40,"Best Loan App ever I saw in my life, No Hassel, Very Quick, Fast Customer Support, No Call harassment, Completely Safe and Secure, Loved it soo Much, Some suggestion :- Please provide options to delete or edit Contact Number, accounts, and small things because for this smaller things we have to wait for customer support to help us, lastly loan limit amount should increase after some successful repayment of loans because last time I got 1000 loan, now they only gave 500 its downgrade,🥹🥹"
41,"I appreciate this app much more... it's easy to download deposit your money, Get loan due emergency and they give more rewards for paying bills and buying airtime.. it's easy to register under minutes...."
42,"Branch loan app is okay. You would get the loan immediately for whatever you need it for. But I didn't give it a 5 star because the interest is too high. I borrowed 12k and I paid back 16,200k. Your company should reduce the interest rate. Then you should also give option of repayment plan of 6 months too should in case someone gets a big amount of loan from your company.Thanks."
43,Worst service . I am Very Disappointed because I using last one year. I never miss any EMI all paid on time. My credit limit was 8000 but they decrease now 4000 I don't know what's wrong happening here. Please don't take loan on this plateform they're cheating with you even paid all Emi timely. Branch will reduce your credit limit Automatically. Very Disgusting
44,"After my first successful loan with this app, I repaid even before the due date, but I reapplied, and it wasn't approved. After 60 days, I reapply, and it was also not approved. These people don't have enough money to offer, so they will make you believe the app is the perfect one by approving your first loan and then moving on to another person."
45,"Best app ever, very smooth and professional in their dealings unlike most loan app, I will recommend this app to anyone who needs money urgently. Imagine getting a loan of 16k to pay back 21k in 2months... That's a very great offer for real. Keep up with the good work 👍 I would give 10 stars if I could."
46,"Very reliable, more advanced, very transparent and friendly with the most lowest interest/charges and a reasonable duration for payback. I think ""Branch"" is my most favourable loan app with cool and understandable preps.. 💕 💕 💕 💕"
47,"This app is one of the best you can find anywhere. I have been using this app since 2019 and they stand out. No embarrassment, very understanding, no difficulty. Their staff's are very matured in the way they approach customer."
48,"Too many problem with the app, I tried to submit bank details, and the interface keeps loading and nothing happened after. I've not been able to access any of their services. Weak app"
49,"Too much bad experience with this app, the reason is that firstly it show me a credit limit of 8000 but after applying for the loan the app shows an page of approval and then it is showing that your eligible criteria is not fulfilled by the app....What nonsense is this, if I'm not eligible then show me it as earlier as possible why this stupidity is going on with this app."
50,"It is the most easiest to use application. The entire process is transparent and very swift. Whether it is taking loan or repayment, everything is so well organized. I recommend this app wholeheartedly to anyone in need of a quick loan."
51,"So, barch app is a overall good. I have no credit history, they give me loan of rs 1000 I'm really thankful for this 😍👍 But there are some thing which is not, company should consider to work on these things The interest rate and duration they offer is good but the processing fee after including the GST not good. So i would to give you my feedback that please please consider to charge low processing fee.Thanks In the end, evey RBI registered loan lender is good 👍 they'll never cheat u"
52,I had taken loan from branch twice had paid the total amount on time but still the next time I applied for the same amount they rejected my offer and also they the are stating that I am not eligible for the same loan they provided me before. I don't think I will be able to have my faith in this app in time of emergency
53,Branch is where your financial stress is sorted.. due to its honesty and trustworthiness it have become customers friendly it gives instant loans with little conditions and enough time to repay your loan compared to other apps.... I therefore recommend those who have no trust with lending apps to try branch and they will never regret.
54,"I use this app since last three months. I regularly repay loan in time. I never missed any repayment date. Today I got approval and after confirming bank details, suddenly what happened my loan was rejected. I wrote to customer care but still I didn't get reply."
55,"1) Simple registration, fast disbursement, low interest rate, no dubious way of manipulating loans amount, no hidden changes and about a month to repay loan are all quite good of the loan app. 2) Got an initial loan, paid back even before due date and noticed afterwards that I can't get loan for now that I should wait for 2 months! More than strange. I will still give 5 stars. Thank you for coming through for Nigerians during this very hardship period. Thank you once again"
56,"You people are trustworthy, becouse you done well to me, my sister use my details and borrowed credit to my account, and i come lost my phone number, for is almost 3years i don't know how to pay, but one day as i search you in Facebook, we communicated, and i gave you the phone number that she used and opened it, the great thing that you have done to me. I got a discount that even the money she borrow i no pay, thank you very much branch. You the best in Nigeria and even the world."
57,This is still the best loan app I have ever used. Very reliable with reasonable interest rate. Good app interface. Customer service is top notch. Try it today and you will never regret. 🥰😍 I will give 10 ⭐ if available.
58,It was nice experience with Branch Personal Cash Loan application and easy to access and it's really supportive customer care and I am really appreciate for all team members of Branch Personal Cash Loan application for every emergency this application is very useful thanks for your support😃😃😃😃😄
59,"As a new customer/user, my experience after repayment of loan is extremely bad... I found out that I wouldn't be around to repay the loan on the due date so I had to rush to repay yesterday,this was simply to avoid defaulting on the loan... It was a big shock to me that Branch would not even allow me to apply for at least the initial amount loaned me, I am asked to reapply in 60 days time! I advise people not to rush to repay loan but wait until the due date to repay as you might get punished."
60,"I was paying the due on time and before time for several times but after the loan amount increased they rejected my loan as if i am not repaying on time.I was in urgent need of money. What's the use of taking loan if we don't get when we're in need? So much disappointed with this ""branch"" app. There's no option to contact to customer care also. This app don't deserve to get even 1 star."
61,I took the loan and it's been more than 48 hours. In app it's showing that amount is disbursed but I haven't received the amount in my account. And I can't find any customer care executive number in app.
62,"Good application with fast loan service. As my suggestion, you may consider adding a feature for paying the loan within the application, eliminating the need to navigate to the M-Pesa menu, etc. I mean all activities should be completed within your application."
63,I forgot my security password in branch application. I'm unable to reset my password. I tried to contact customer care but there's no response. I can't pay my loan amount. I request you to solve my issue as soon as possible. Thank you.
64,"Great app! In emergency no app is going to give me a loan but this app amazing, but payment received afte 2-3 hours and also its charges are little high. Human pshycology while in financial problem we never see intrest and charges. If you want small loan go through it it's very helpful."
65,"Seems like fraud. Approved ₹2500 and says ₹2206 has been disbursed. I received only ₹1 in my account. If they charge me for the loan I might have to go to the police to register a complaint as I have not received any response to my grievance registered to their official channels. Edit 1: After the first response, I wish to tell that there is no response in the in-app channels of support even after 24 hours. Also, the phone number for call support is always switched off."
66,Branch does bother one with calls and text messages. Plus the app is very easy to use and also has room for investment. Its safe and reliable.
67,"Reliable, fast for transaction.the reaon am not giving 5 star is loan.. But in terms of the loan have been using the loan for months borrowing and paying back on time,unfortunately there was this time I couldn't pay on due date after making payment have been suspended of not borrowing money it's keep telling after 60days of reviews and I still keep on using the app for transaction. My 60 days of trial is now x3 which I need to try again next year but this is annoying."
68,very easy to access and the interest rate is affordable but it was difficult for me to transfer money from their wallet to my account number so I have returned your money back to you. I am not paying the interest because the money never leaves your account or bank before. Thanks
69,"This app really helped me out and I did all my repayment on time except one or two, it has been three damn years since I got a loan from these guys all they keep saying is try in the next days like it's so embarrassing, despite sending emails asking for the service back they still neglecting my request for 3 good years, comeon now guys you are good but this is not good at all."
70,They take the repayment amount and they don't give the loan in return because they are the bigger liers the take too much interest and then provide the loan for example if you got the amount of 6000 then they will only give 5304 rupees but in repayment amount they will take 6404 rupees is this correct if think then apply and if you not then report and send this to everyone who don't know about this type of fraud company or a loan app. Thank you . 🙏🙏🙏
71,"It was good app i have taken loan amount of rs 500 twice and it disbursed in the account but my third load of 1000 I applied it shows disbursed in the app and repayment option and all, also disbursement message comes to me but that amount wasn't deposited in my account, it's been 24 hrs but the loan is not received to me yet and ir shows disbursed in Branch App. Take a step on it team Branch because i have done email they r not responding"
72,"Would've loved to give a 5 ⭐ rating, but I'll hold 1 ⭐ to observe my usage. However, I learnt of and downloaded branch app last night, applied for a loan this morning and in less than an hour, I got all verifications and credited immediately. That's so awesome, and for this swiftness, I'll recommend branch app to anyone that need an online loan. Lemme even mention their loan duration that they don't lie if they tell you 31 or 62 days repayment period. Hence, even salary earners can use it."
73,Fake app. Very bad experience. I applied small amount of loan here. All procedure completed after that they text me amount has been disbursed.and in app showing interest ammount.But I didn't get loan amount in my account. I texted them through app but they didn't respond anything . I suggest you to don't apply any loan here.
74,"The most easy reliable and fast working loan app, pay on time and get another loan immediately. Interest rate very low. Only issue is they need to upgrade their loan amount a bit. Thanks"
75,Worst app I paid all the loan in advance and after that when I applied for a new loan it is showing you are not eligible for the loan. I am using branch for more than a year. I have paid every loan in time or advance. And when I sent messages to the chat support no reply. Do something it is urgent. Please check
76,"Branch app so far is about the best. I recommend it. Have not really had any issue using it. I would have given 5* assuming they can improve on duration of loan payment and a bit reduction of interest. Otherwise, i say👌"
77,"I must confess, branch is the best online loan app you can ever come across..this site has really helped me. it has not only the lowest interest rate,but it has a very good considerable duration..thank you branch. you don't know how your app has helped me. thank you so very much!"
78,"There are three loan apps I can recommend to anyone. Branch is one of them. Honestly, believe me, when I give review, I give it for having read about the reviews of others & for having used the product myself; not once, twice but many times. Feel free to use Branch."
79,"Today, I used this App for the second time after a gap of 16 months. I'm happy it worked faster for me. Previously, I had written... There are many reviews which are opposite to others. I don't know why is it so? But, my experience with this app is very good. I got loan, though small, within 12 hours. It is my first loan here. Let's see what pans out in future."
80,"Initially, the maximum principal amount was 2,500. I took out two loans and paid them off ahead of schedule. The primary sum is now 1500rs for the third time. I have no idea why!😿"
81,"Most reasonable interest rate! This guys are humane. There's room for improvement, though, Like bonus/discount for early payment 😊. Well, I'm back in 2024, too bad you have refused to give me loans. I used to really like you."
82,"This is definitely one of the best,if not the very best Loan App ever.The loan duration is long and the interest rate is low.And no undue harassment by the agents of the company. Keep soaring high - you are the best"
83,Why i can't open branch app i try many time reinstall it nothing is happening please reply me i want to take loan Previously i get rejected 4 time but no reason because i paid all the emi in time please respond my concern. This app very good but in the reason this app to concern many thing to do.
84,"Very bad customer support..😡 I have been calling the customer care since 4 days and there is no response. No matter how many mails I sent to the branch, there is no response."
85,Very bad app don't use it .I always pay all my amount on time but after that it shows try again after 180 days .after 180 days it also shows that try again after 180days .very bad and worst app.
86,Its 3rd class application ...my loan process is all completed also agreement be sing but then distributing amount its not credited to my account ...but I will check application it's show you not eligible... 2500rs loan amount...... Its facke app
87,"So far, this is the best financial bank app I have used. The rate of completing user transactions is top notch🤝. Keep doing the good work ✊"
88,I have been paying my loans on time yet I was rejected for higher loan and instead downside my loan to starting amount. I really had high hopes for them.
89,Worst app i could say that with confident i have forgot my login psssword since from 3 days and i have complaint to the customer care of branch through app and they ate not responding to it or not taking any action to this matter . Worst service by them very very bad this app . 🤬
90,"I so much Love this app your one of the best so far that I came across , this exactly what we need I can borrow with a less change and even more to save for features use."
91,"Branch is the best and understanding online banking system, about two years ago I lost my personal belongings together with my mobile phone, after awhile I got to no tht my branch account is with outstanding dept of about 20k Which I didn't apply for, I wrote to branch that's I don't apply for any loan that I lost my personal belongings. After awhile branch cleared off 70% of the loan which makes it easier for me to have access to my branch account. A big thank to branch and the entire team."
92,★★★ 14/12/2023 After clearing the EMI in advance still the app in not updating the same. Last time also had this issue and my credit score was effected. Same this time also and gettin...
93,I repaid before due date and applied the loan again. They have rejected the loan application. I don't know what kind of process they are doing.. worst app . Don't go for it
94,Aap is too good and helpful but I get shocked after repaying on time my credit limit decrease. So sad and I have been worried. In time of need at least my last limt has to be provided.
95,"Prompt consideration of loan application, patient even when loan gets overdue without embarrassing loan applicants. Low interest rate etc. Branch is simply the BEST of ALL. Patience and Courtesy defines Branch App"
96,After paying my installment before time Branch text me that you are frod person and we send you legal notice etc I contect with help desk but only they said it's technical issue but daily I have received 2 text message that we going to case on you it's. At last I pay my all remaining amount and go out with this lone app.
97,It's good if you need Money urgently. Less paper works. Although you can get less money at first. The more you do the better your credit score is.
98,"Had rated 5 but even when my loan repayment day is jan1st 2024 that too of 795 ₹ (1600₹ total) sending me irritating messages, make payment prior to the due date etc that too three 4 times just irritating is the reason for my one star.once i finish on feb 1st am done wuth this app, if its that there was lapse in repayment after due date its understandable, when they have charged me interest for one month or two and asking to make payment prior to due date is not professionalism in any manner."
99,Branch app is the worst app that has ever been If you are looking for an app to get money then branch app should be the least of your priorities...they don't lend loans they are sorta scamm app to be honest..first loan..you replay it on time and some other time you get an emergency you ask for it again they say wait for 90 days and keep.the app..again an emergency hits you and you remember you want money come again after 90 days no loan..the same words keep the app you qualify..don't be fooled!!
100,"I'm disappointed in this app, I have been taking loans and paying before due date and it was all well untill I had a one late repayment which I paid in full both interest and penalties yet after giving 7 days wait period for reapplication, it gave me a 90 days wait period again. This is absurd."
101,"I was wrong about Branch application. I heard from my friends that Branch is the one & Only app which gives loan in low cibil score also. Today I tried it, 1st I applied for 20k and it was rejected then applied for 2.5 k then again it's got rejected. Nothing special about this app that what I felt in my emergency situation. Useless, Deleting this from my phone."
102,I had a very good experience before. I was repaying on time or before to maintain good cibil and increase in my limit. My principal increased and I applied for the whole amount but certainly you decreased my principal and says I am not eligible. Although I have applied for the small amount but it's taking forever to disburse. Before you use to disburse within an hour. VERY DISAPPOINTED ON YOU BRANCH.
